#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         LWS>Living With a Star
#     SOURCE_NAME                     PSP>Parker Solar Probe
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     DATA_TYPE                       L3i>Solar Wind Ion velocity moments and fits
#     DESCRIPTOR                      SWP_SPC>Solar Wind Electrons Alphas and Protons / Solar Probe Cup
#     FILE_NAMING_CONVENTION          source_descriptor_datatype_yyyyMMdd
#     DATA_VERSION                    01
#     PI_NAME                         Justin C. Kasper
#     PI_AFFILIATION                  University of Michigan
#     TEXT                            This file includes the densities, vector velocities, and scalar (radial component)                     
#     TEXT                             temperatures of the solar wind protons measured by the Solar Probe Cup (SPC).                         
#     TEXT                             These are determined both by a direct computation of the velocity moments of                          
#     TEXT                             the reduced distribution function and by attempting to fit the primary peak                           
#                                      in the ion I(V) curve with a Maxwellian model.                                                        
#                                     When such fitting is successful, the data set also includes Maxwellian model                           
#                                      fits to the alpha-particle (He++) and tertiary (usually proton beam or shoulder)                      
#                                      populations.                                                                                          
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     LOGICAL_SOURCE                  psp_swp_spc_l3i
#     LOGICAL_FILE_ID                 psp_swp_spc_l3i_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Parker Solar Probe/SWEAP/SPC level 3 ion data
#     TIME_RESOLUTION                 variable
#     RULES_OF_USE                    NASA open data policy applies. Consultation with the instrument team is strongly                       
#                                      recommended.                                                                                          
#     GENERATED_BY                    Michael L. Stevens (mstevens@cfa.harvard.edu)
#     GENERATION_DATE                 Thu Jan 20 14:38:22 2022
#     ACKNOWLEDGEMENT                 This project acknowledges the Parker Solar Probe SWEAP instrument team and the                         
#                                      SWEAP science data center for providing these solar wind plasma measurements.                         
#     MODS                            2018-12-04: CDF skeleton created (MLS)
#                                     2019-01-20: expanded data quality flags, variable notes
#                                     2019-01-28: modified to include RTN reference frame
#                                     2019-07-23: minor modifications for spdf compliance
#                                     2019-08-20: minor modifications for spdf compliance
#                                     2019-10-01: corrections to axis label fields, expanded var_notes
#                                     2019-11-04: contracted calibration file variables to global attribute
#                                     2019-10-31: inclusion of standalone general_flag variable
#     LINK_TITLE                      Space Science Reviews
#                                     Data Link
#     LINK_TEXT                       SWEAP instrument paper at
#                                     Smithsonian Astrophysical Observatory SWEAP
#     HTTP_LINK                       https://link.springer.com/article/10.1007/s11214-015-0206-3
#                                     http://sweap.cfa.harvard.edu/Data.html
#                                     spase://NASA/NumericalData/ParkerSolarProbe/SWEAP/SPC/Level3/SolarWindMomentsFits/PT0.2185S            
#     CALIBRATIONS_USED               psp_swp_spc_calfiles_spc_uvphithetalookup_20190819
#                                     psp_swp_spc_calfiles_sensorgainoffsets_20190618_v02
#                                     psp_swp_spc_calfiles_sensorcrosstalk_20190210_v00
#                                     psp_swp_spc_calfiles_raytracesim_20181219_v00
#                                     psp_swp_spc_calfiles_dVthermalcorrection_20181217_v00
#                                     psp_swp_spc_calfiles_mvind2volt_20180801
#                                     psp_swp_spc_calfiles_effectiveAreaTable_v00
#     CDAWEB_PARENTS                  psp_swp_spc_l3i_00000000_v01
#                                     psp_swp_spc_l3i_20181120_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. CDF TT2000 time [ns]
#       NOTES:  Spacecraft ephemeris time, expressed as the number of nanoseconds since J2000 (2000-01-01T12:00:00.000000000) with leap seconds included.    Please refer to CDF TT2000 documentation with regards to this convention.  This time corresponds to the first measurement of the spectrum. Owing to frequent changes in the operating mode, this is usually NOT regular cadence.
#  2. Proton bulk velocity from the 1st moment of the reduced distribution function in [inertial] RTN coordinate system (Only Good Quality)
#       NOTES:  This moment is a model-independant estimate of the proton bulk speed, but it is subject to confusion with alpha particles when present. Error bars represent estimated upper and lower limits.
#  3. ---> lower uncertainty
#       NOTES:  This moment is a model-independant estimate of the proton most-probable thermal speed, but it is subject to confusion with alpha particles when present. Error bars represent estimated upper and lower limits.
#  4. ---> upper uncertainty
#       NOTES:  This moment is a model-independant estimate of the proton most-probable thermal speed, but it is subject to confusion with alpha particles when present. Error bars represent estimated upper and lower limits.
#
EPOCH                         VP_MOMENT_R          VP_MOMENT_T          VP_MOMENT_N VP_MOMENT_R_DELTALOW VP_MOMENT_T_DELTALOW VP_MOMENT_N_DELTALOW VP_MOMENT_R_DELTAHIGH VP_MOMENT_T_DELTAHIGH VP_MOMENT_N_DELTAHIGH
                                   (@_1_)               (@_2_)               (@_3_)               (@_1_)               (@_2_)               (@_3_)                (@_1_)                (@_2_)                (@_3_)
Year____Secs-of-year        (Good_Q)_km/s        (Good_Q)_km/s        (Good_Q)_km/s        (Good_Q)_km/s        (Good_Q)_km/s        (Good_Q)_km/s         (Good_Q)_km/s         (Good_Q)_km/s         (Good_Q)_km/s
2018 27910820.344801              545.210              49.4158              1.63493              84.7314              86.2343              86.5848               84.7314               86.2343               86.5848
2018 27910848.306881         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27910876.268941              535.109              31.5333              6.67503              49.5442              14.4039              9.27126               49.5442               14.4039               9.27126
2018 27910904.231000         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27910932.193060              570.081              28.6125             -32.7381              81.7791              16.2901              18.2402               81.7791               16.2901               18.2402
2018 27910960.155119              532.804              24.1661              4.69343              66.7226              15.6087              15.4798               66.7226               15.6087               15.4798
2018 27910988.117199         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911016.079259         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911044.041318         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911072.003398              535.508              48.5554              9.01128              58.7647              29.4719              31.8724               58.7647               29.4719               31.8724
2018 27911099.965438         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911127.927517         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911155.889577         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911183.851636         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911211.813716              549.440              38.2706              8.06644              80.4114              13.3574              7.91992               80.4114               13.3574               7.91992
2018 27911239.775776         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911267.737815         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911295.699895         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911323.661955         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911351.624014         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911379.586094         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911407.548153         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31         -1.00000E+31          -1.00000E+31          -1.00000E+31          -1.00000E+31
2018 27911435.510213              547.177              32.5385             -17.8486              74.1577              13.6233              12.4986               74.1577               13.6233               12.4986
2018 27911463.472273              543.029              43.9294             -5.71513              82.1865              21.1061              19.6047               82.1865               21.1061               19.6047
2018 27911491.434332              533.911              45.4170             -11.7630              65.4693              25.9047              23.7752               65.4693               25.9047               23.7752
2018 27911519.396412              546.698              33.3205             -27.4352              74.7517              14.8479              18.0892               74.7517               14.8479               18.0892
2018 27911547.358471              544.866              33.7945             -11.6640              89.9310              23.6069              25.0610               89.9310               23.6069               25.0610
2018 27911575.320531              536.080              39.9256             -14.3536              49.3548              9.80794              12.3365               49.3548               9.80794               12.3365
2018 27911603.282611              547.410              25.0435             -7.40641              74.0785              15.2927              13.0195               74.0785               15.2927               13.0195
2018 27911631.244650              529.280              33.5446             -35.0543              68.8543              33.2906              34.0531               68.8543               33.2906               34.0531
2018 27911659.206730              516.784              30.1876             -21.3494              61.2944              49.5625              51.9895               61.2944               49.5625               51.9895
