#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         LWS>Living With a Star
#     SOURCE_NAME                     PSP>Parker Solar Probe
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     DATA_TYPE                       L3i>Solar Wind Ion velocity moments and fits
#     DESCRIPTOR                      SWP_SPC>Solar Wind Electrons Alphas and Protons / Solar Probe Cup
#     FILE_NAMING_CONVENTION          source_descriptor_datatype_yyyyMMdd
#     DATA_VERSION                    01
#     PI_NAME                         Justin C. Kasper
#     PI_AFFILIATION                  University of Michigan
#     TEXT                            This file includes the densities, vector velocities, and scalar (radial component)                     
#     TEXT                             temperatures of the solar wind protons measured by the Solar Probe Cup (SPC).                         
#     TEXT                             These are determined both by a direct computation of the velocity moments of                          
#     TEXT                             the reduced distribution function and by attempting to fit the primary peak                           
#                                      in the ion I(V) curve with a Maxwellian model.                                                        
#                                     When such fitting is successful, the data set also includes Maxwellian model                           
#                                      fits to the alpha-particle (He++) and tertiary (usually proton beam or shoulder)                      
#                                      populations.                                                                                          
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     LOGICAL_SOURCE                  psp_swp_spc_l3i
#     LOGICAL_FILE_ID                 psp_swp_spc_l3i_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Parker Solar Probe/SWEAP/SPC level 3 ion data
#     TIME_RESOLUTION                 variable
#     RULES_OF_USE                    NASA open data policy applies. Consultation with the instrument team is strongly                       
#                                      recommended.                                                                                          
#     GENERATED_BY                    Michael L. Stevens (mstevens@cfa.harvard.edu)
#     GENERATION_DATE                 Thu Jan 20 14:38:22 2022
#     ACKNOWLEDGEMENT                 This project acknowledges the Parker Solar Probe SWEAP instrument team and the                         
#                                      SWEAP science data center for providing these solar wind plasma measurements.                         
#     MODS                            2018-12-04: CDF skeleton created (MLS)
#                                     2019-01-20: expanded data quality flags, variable notes
#                                     2019-01-28: modified to include RTN reference frame
#                                     2019-07-23: minor modifications for spdf compliance
#                                     2019-08-20: minor modifications for spdf compliance
#                                     2019-10-01: corrections to axis label fields, expanded var_notes
#                                     2019-11-04: contracted calibration file variables to global attribute
#                                     2019-10-31: inclusion of standalone general_flag variable
#     LINK_TITLE                      Space Science Reviews
#                                     Data Link
#     LINK_TEXT                       SWEAP instrument paper at
#                                     Smithsonian Astrophysical Observatory SWEAP
#     HTTP_LINK                       https://link.springer.com/article/10.1007/s11214-015-0206-3
#                                     http://sweap.cfa.harvard.edu/Data.html
#                                     spase://NASA/NumericalData/ParkerSolarProbe/SWEAP/SPC/Level3/SolarWindMomentsFits/PT0.2185S            
#     CALIBRATIONS_USED               psp_swp_spc_calfiles_spc_uvphithetalookup_20190819
#                                     psp_swp_spc_calfiles_sensorgainoffsets_20190618_v02
#                                     psp_swp_spc_calfiles_sensorcrosstalk_20190210_v00
#                                     psp_swp_spc_calfiles_raytracesim_20181219_v00
#                                     psp_swp_spc_calfiles_dVthermalcorrection_20181217_v00
#                                     psp_swp_spc_calfiles_mvind2volt_20180801
#                                     psp_swp_spc_calfiles_effectiveAreaTable_v00
#     CDAWEB_PARENTS                  psp_swp_spc_l3i_00000000_v01
#                                     psp_swp_spc_l3i_20181120_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. CDF TT2000 time [ns]
#       NOTES:  Spacecraft ephemeris time, expressed as the number of nanoseconds since J2000 (2000-01-01T12:00:00.000000000) with leap seconds included.    Please refer to CDF TT2000 documentation with regards to this convention.  This time corresponds to the first measurement of the spectrum. Owing to frequent changes in the operating mode, this is usually NOT regular cadence.
#  2. Proton density estimate from the 0th moment of the reduced distribution function (Only Good Quality)
#       NOTES:  This moment is a model-independant estimate of the proton density, but it is subject to confusion with alpha particles when present. Error bars represent estimated upper and lower limits.
#  3. ---> upper uncertainty
#       NOTES:  This moment is a model-independant estimate of the proton density, but it is subject to confusion with alpha particles when present. Error bars represent estimated upper and lower limits.
#  4. ---> lower uncertainty
#       NOTES:  This moment is a model-independant estimate of the proton density, but it is subject to confusion with alpha particles when present. Error bars represent estimated upper and lower limits.
#
EPOCH                       NP_MOMENT NP_MOMENT_DELTAHIGH NP_MOMENT_DELTALOW
Year____Secs-of-year (Good_Q)_cm^{-3}   (Good_Qs)_cm^{-3}  (Good_Qs)_cm^{-3}
2018 27910820.344801          15.4960             24.4952            2.92087
2018 27910848.306881     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27910876.268941          19.6670             19.1042            1.37693
2018 27910904.231000     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27910932.193060          18.9323             21.4609            1.81912
2018 27910960.155119          19.1873             25.8863            1.13463
2018 27910988.117199     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911016.079259     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911044.041318     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911072.003398          19.5847             20.8030            1.19591
2018 27911099.965438     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911127.927517     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911155.889577     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911183.851636     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911211.813716          19.9212             23.2286            1.69932
2018 27911239.775776     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911267.737815     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911295.699895     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911323.661955     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911351.624014     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911379.586094     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911407.548153     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911435.510213          19.3523             21.8781            1.42044
2018 27911463.472273          17.3562             25.9898            2.12674
2018 27911491.434332          17.7407             22.5325            1.60220
2018 27911519.396412          21.5116             22.6709            1.34398
2018 27911547.358471          18.6546             20.6904            2.86622
2018 27911575.320531          18.6178             25.5129           0.133815
2018 27911603.282611          18.2928             23.8089           0.822805
2018 27911631.244650          17.3843             23.7931            2.12854
2018 27911659.206730          17.7451             23.1430            2.21686
2018 27911687.168789          3.69163             49.8134            1.14204
2018 27911715.130849     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911743.092929          19.3841             25.4978            2.05304
2018 27911771.054988          18.3470             24.8699           0.528809
2018 27911799.017028     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27911826.979107          17.6260             25.6448            2.04644
2018 27911854.941167          18.0746             26.3800            1.74956
2018 27911882.903227          19.4348             26.5932           0.740044
2018 27911910.865306          18.6991             18.4706            1.86014
2018 27911938.827366          18.6154             26.0052            1.37571
2018 27911966.789426          22.0359             25.4865            1.98666
2018 27911994.751485     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912022.713545          19.8207             29.9624            2.34446
2018 27912050.675624     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912078.637684     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912106.599744          21.2317             23.5624            2.15656
2018 27912134.561803     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912162.523863     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912190.485942          17.1517             27.0858            1.94176
2018 27912218.448002     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912246.410062     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912274.372141     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912302.334201     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912330.296241          18.8571             27.7290            1.45263
2018 27912358.258320     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912386.220380     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912414.182439     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912442.144519     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912470.106579     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912498.068638          20.3761             23.5662            1.78010
2018 27912526.030698     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912553.992757     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912581.954837     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912609.916897     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912637.878956     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912665.841036     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912693.803075          18.9359             22.8830            1.20469
2018 27912721.765155     -1.00000E+31        -1.00000E+31       -1.00000E+31
2018 27912749.727215     -1.00000E+31        -1.00000E+31       -1.00000E+31
